Company,Category,Revenue,Net_income,Net_margin,Year,FY,Fiscal_period,Currency,Ticker_symbol,Link_or_not,Link
新秀丽,包, 228 , 23.3 ,10%,2017,2017,2017/1/1-2017/12/31,亿元,01910.HK,YES,https://pdf.dfcfw.com/pdf/H2_AN201804221127706044_1.pdf
新秀丽,包, 184 , 18.0 ,10%,2016,2016,2016/1/1-2016/12/31,亿元,01910.HK,YES,https://pdf.dfcfw.com/pdf/H2_AN201804221127706044_1.pdf
金利来,包, 11 , 1.3 ,12%,2020,2020,2020/01/01-2020/12/31,亿元,00533.HK,YES,https://pdf.dfcfw.com/pdf/H2_AN202104121483932578_1.pdf?1618229756000.pdf
金利来,包, 14 , 2.7 ,19%,2019,2019,2019/1/1-2019/12/31,亿元,00533.HK,YES,https://pdf.dfcfw.com/pdf/H2_AN202104121483932578_1.pdf?1618229756000.pdf
金利来,包, 15 , 3.3 ,22%,2018,2018,2018/1/1-2018/12/31,亿元,00533.HK,YES,https://pdf.dfcfw.com/pdf/H2_AN202004091377818880_1.pdf
金利来,包, 14 , 2.8 ,20%,2017,2017,2017/1/1-2017/12/31,亿元,00533.HK,YES,https://pdf.dfcfw.com/pdf/H2_AN201804121122016476_1.pdf
金利来,包, 13 , 3.4 ,26%,2016,2016,2016/1/1-2016/12/31,亿元,00533.HK,YES,https://pdf.dfcfw.com/pdf/H2_AN201804121122016476_1.pdf
朗姿,服装, 30 , 0.4 ,1%,2019,2019,2019/1/1-2019/12/31,亿元,002612 .SH,YES,https://pdf.dfcfw.com/pdf/H2_AN202005201379999608_1.pdf
朗姿,服装, 27 , 2.0 ,8%,2018,2018,2018/1/1-2018/12/31,亿元,002612 .SH,YES,https://pdf.dfcfw.com/pdf/H2_AN202005201379999608_1.pdf
朗姿,服装, 24 , 1.9 ,8%,2017,2017,2017/1/1-2017/12/31,亿元,002612 .SH,YES,https://pdf.dfcfw.com/pdf/H2_AN201803301115287905_1.pdf
朗姿,服装, 14 , 1.8 ,13%,2016,2016,2016/1/1-2016/12/31,亿元,002612 .SH,YES,https://pdf.dfcfw.com/pdf/H2_AN201803301115287905_1.pdf
七匹狼,服装, 33 , 2.4 ,7%,2020,2020,2020/01/01-2020/12/31,亿元,002029 .SH,YES,https://pdf.dfcfw.com/pdf/H2_AN201904031314933338_1.pdf
七匹狼,服装, 36 , 3.5 ,10%,2019,2019,2019/1/1-2019/12/31,亿元,002029 .SH,YES,https://pdf.dfcfw.com/pdf/H2_AN201904031314933338_1.pdf
七匹狼,服装, 35 , 3.6 ,10%,2018,2018,2018/1/1-2018/12/31,亿元,002029 .SH,YES,https://pdf.dfcfw.com/pdf/H2_AN201904031314933338_1.pdf
七匹狼,服装, 31 , 3.4 ,11%,2017,2017,2017/1/1-2017/12/31,亿元,002029 .SH,YES,https://pdf.dfcfw.com/pdf/H2_AN201904031314933338_1.pdf
七匹狼,服装, 26 , 2.8 ,11%,2016,2016,2016/1/1-2016/12/31,亿元,002029 .SH,YES,https://pdf.dfcfw.com/pdf/H2_AN201703310457127309_1.pdf
如意,服装, 12 , 0.5 ,4%,2019,2019,2019/1/1-2019/12/31,亿元,002193.SH,YES,https://pdf.dfcfw.com/pdf/H2_AN202005271380330835_1.pdf
如意,服装, 13 , 1.1 ,8%,2018,2018,2018/1/1-2018/12/31,亿元,002193.SH,YES,https://pdf.dfcfw.com/pdf/H2_AN202005271380330835_1.pdf
如意,服装, 12 , 0.8 ,7%,2017,2017,2017/1/1-2017/12/31,亿元,002193.SH,YES,https://pdf.dfcfw.com/pdf/H2_AN201803261110789089_1.pdf
如意,服装, 11 , 0.6 ,6%,2016,2016,2016/1/1-2016/12/31,亿元,002193.SH,YES,https://pdf.dfcfw.com/pdf/H2_AN201803261110789089_1.pdf
森马,服装, 152 , 7.9 ,5%,2020,2020,2020/01/01-2020/12/31,亿元,002563.SH,YES,https://pdf.dfcfw.com/pdf/H2_AN202104121483988354_1.pdf?1618246205000.pdf
森马,服装, 193 , 15.3 ,8%,2019,2019,2019/1/1-2019/12/31,亿元,002563.SH,YES,https://pdf.dfcfw.com/pdf/H2_AN202104121483988354_1.pdf?1618246205000.pdf
森马,服装, 157 , 16.8 ,11%,2018,2018,2018/1/1-2018/12/31,亿元,002563.SH,YES,https://pdf.dfcfw.com/pdf/H2_AN202004261378680526_1.pdf
森马,服装, 120 , 11.3 ,9%,2017,2017,2017/1/1-2017/12/31,亿元,002563.SH,YES,https://pdf.dfcfw.com/pdf/H2_AN201804251130271373_1.pdf
森马,服装, 107 , 14.0 ,13%,2016,2016,2016/1/1-2016/12/31,亿元,002563.SH,YES,https://pdf.dfcfw.com/pdf/H2_AN201804251130271373_1.pdf
地素时尚,服装, 24 , 6.2 ,26%,2019,2019,2019/1/1-2019/12/31,亿元,603587.SH,YES,https://pdf.dfcfw.com/pdf/H2_AN202004071377709451_1.pdf
地素时尚,服装, 21 , 5.7 ,27%,2018,2018,2018/1/1-2018/12/31,亿元,603587.SH,YES,https://pdf.dfcfw.com/pdf/H2_AN202004071377709451_1.pdf
九牧王,服装, 29 , 3.5 ,12%,2019,2019,2019/1/1-2019/12/31,亿元,601566.SH,YES,http://data.eastmoney.com/notices/detail/601566/AN201804241128998749.html
九牧王,服装, 27 , 5.3 ,19%,2018,2018,2018/1/1-2018/12/31,亿元,601566.SH,YES,http://data.eastmoney.com/notices/detail/601566/AN201804241128998749.html
